,question1,question2,is_duplicate
61909,Can someone get successful and rich morally with lack of people skill or pleasing people?,"Do rich people ""shop smart""?",0
375043,Was Woodrow Wilson a good or bad president? Why?,How was Woodrow Wilson a better president than George Washington?,0
223534,What business/company one can start to earn 10 lacks per month in India?,Why are people on both sides of the political spectrum often dogmatic in their beliefs?,0
293280,What are the safety precautions on handling shotguns proposed by the NRA in South Carolina?,What are the safety precautions on handling shotguns proposed by the NRA in Wisconsin?,1
12429,How can I overcome my depression and my fears?,How should I overcome anxiety and depression?,1
365473,What are your New Year's resolutions for 2017?,What's your new year resolution for 2017?,1
231662,How can we get rid of religion and replace it with science?,How can we rid the world of religion?,0
222615,How much will it cost for a sleeve tattoo?,How much does a full sleeve tattoo (from wrist to shoulder) cost?,1
33819,Who nomenclated Earth?,Why is the earth called earth?,1
268716,How can you reduce thumbnails' size on Android?,How do I reduce video size on Android?,0
241791,"How do I make answer public , after answering Anonymously?",How do I make an answer anonymous after answering publicly?,0
288155,Is majoring in economics a good choice?,Is economics still a good major choice for the future?,1
261284,Do I really need to apply toner on my face after I wash it?,Should you wash off a toner or leave it on and apply moisturizer over it?,0
4651,How can I increase the organic search traffic to my site?,How can I increase my website organic search traffic?,1
360546,"I broke up with my boyfriend, and now I miss him terribly, but I know it was the right decison to end the relationship and I don't want to get back together. How do I best cope with the pain and sadness from missing him in my life?",I broke up with my boyfriend because I wanted to sleep earlier because I miss him. I'm taking sleeping pills so I wouldn't be thinking of him all night. Can it cause any problem later?,0
8894,Where can I find best Doctor in Sydney CBD?,Where can I find best Psychologist in Sydney CBD?,0
333131,Which companies work for advertising and promotion of FlipKart?,Which of the two is better? Amazon or Flipkart?,0
401347,How do you sell this water bottle marketing interview question?,What are the benefits of reusable water bottles market?,0
202361,What is the Tinder like limit?,What is your most epic last line on Tinder chat?,0
296355,What is the difference between Snapdragon and Mediatek?,"Do you feel that Qualcom Snapdragon chips are not up to the mark as those are being hyped? Which is better in heating issues, Snapdragon or Mediatek?",0
115160,What non-European civilizations could have replicated Spanish success in conquering Meso-America?,Why is weapon selection critical?,0
182927,How is Mark Zuckerberg as a person?,What is Mark Zuckerberg's Myers-Briggs personality type?,0
99391,How can I increase website traffic?,What are the ways to increase my site traffic?,1
149540,Are young women interested in old men?,Are women interested in old men?,1
307896,What are the companies that conduct workshop on IOT?,What are some companies that conduct workshops in colleges?,0
374874,Where can I get computer science internship? I'm a first year CSE student in a NIT. What should I learn before applying to such roles. Any startups,What will be the acceleration of recoil when a 80-kg person on rollerblades pushes against a wall with a force of 30N?,0
23628,How do I reset my gmail password when I forgot my gmail password?,How do I reset my password for old Gmail account?,1
278008,Which one has better study material: FIITJEE or VMC? Why?,Which is better for coaching after 12th Fiitjee or VMC?,1
387897,How do I write essay for upsc?,How do I prepare for the IAS Mains essay paper?,0
181202,How can earn money quickly?,How can I earn more money?,1
319135,"What is the best reply to ""thank you"" in formal and casual situations?","Can I say ""Welcome"" as reply to “Thank you”? Is it right?",0
322780,What is registered will?,What is register in c?,0
284696,What are some good ways to lose weight?,How can I lose an extreme amount of weight?,1
143576,What do you consider to be the most important thing you learned in high school?,What was the most important thing you learned in high school?,1
114420,How do you calculate an atomic number?,How do you calculate atomic number?,1
369281,What is some proof that the Illuminati is real?,Is Illuminati thing real?,1
187605,Should I be a musician?,Why would you rather be a musician?,0
47589,Why does a message say sent and not delivered on Facebook Messenger?,What does it mean when your message on messenger says sent but not delivered?,1
8347,How do I attract girls in college?,How can I be more attractive to women?,0
216364,What is the average living cost of Canada?,What is an average cost of living in Canada?,1
174469,Which is the best state within India and why?,Which's the best state in India?,1
347895,What is the best strategy to start up with a new business?,What are the best strategies to promote a service business?,0
357199,Which is the best restaurant in the Mumbai?,Which is the best restaurant in Mumbai?,1
282093,How do I become financially independent and responsible?,How does one become financially independent?,1
198461,"I am not a body builder, I am very weak due to poor food intake and overload work. Can I go with protein or mineral tablets daily to maintain that.?","What is the living Costs in Brno, Czech Republic?",0
70424,What exactly is a space station?,What exactly is the function of the space station?,0
401084,Which rifles will Indian army replace INSAS with? Will they still be upgraded version of INSAS? ,Which rifle would you choose to replace the INSAS rifles in the Indian Army?,1
273815,Is Donald Trump going to become president?,Can Donald Trump win this Tuesday?,1
102899,Do you think Clash of Clans big boost sale is a response to competition from Pokémon GO?,What are some tips for my admissions interview with Washington and Lee University?,0
139339,Why wasn't the Rockwell-MBB X-31 Put into production?,Why do top Indian Quora writers seem to mostly come from top universities in India?,0
74529,Which is the best torrent website to download PC games?,What is the best torrent downloads?,0
218501,How do e-commerce sites like Amazon and Flipkart transport their products?,How do amazon and flipkart transport?,0
94219,What are the best places to visit in Bangalore?,Which are the best places in Bangalore to visit?,1
229544,How could we overcome our fears?,How did you overcome your fear?,1
369597,What is a suitable inpatient drug and alcohol rehab center near Morgan County IL?,What is a suitable inpatient drug and alcohol rehab center near Morgan County AL?,0
322503,How does Trump’s New Year tweet make you feel?,Why does Trump tweet?,0
159581,How do we measure high voltages?,Are high voltage transmission wires insulated?,0
87260,Why do people often ask questions in Quora while they can Google it themselves?,Why do people on Quora ask silly questions about the facts which can be googled very easily?,1
271202,What is the VHDL assignment operator?,How can I learn VHDL coding?,0
78702,"If you are born on February 29 of a leap year, when is your birthday?",I was born on February 29 and I'm left-handed. What is the probability of the birth of another such person?,0
334592,Can TQWL tickets confirmd easily?,Can PQWL status tickets get confirmed easily?,0
303516,Which is the best way of living life?,What is the best advice for a happy life?,1
167455,What does an ethernet cable do?,What are Ethernet cables? What are its functions?,1
119502,What is surgical strike by India?,What is meant by surgical strikes?,1
36979,Girls of which zodiac signs are likely to get attracted by Taurus guys?,I'm a Taurus but why do I feel like an Aries?,0
207233,How do I learn Russian online?,Can I learn Russian online?,1
286413,Is there anyway I can get Autodesk Inventor 2015 to run on Windows 10?,How can I get the Windows 10 app in Microsoft Windows 8.1?,0
250439,What is the best way to make more money?,What is the best way to make money make more money?,1
108078,What are some alternatives ways to lose 30 pounds in 1 month?,What is the best diet to lose 30 pounds in a month?,1
277874,What are some of the best business ideas in India?,What are the best business ideas for rural India?,0
195210,"Is there any difference in quality and reliability among Mercedes-Benz cars built for the US, German and Japanese markets?",How reliable is a Mercedes Benz E-class?,0
9653,How can I prepare for kvpy exam in just two months?,How can we prepare for the exam in a month?,0
247097,"I'm 12 days late, no symptoms. What are the chances of being pregnant?",What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0
288982,Destiny & chill 17 pve stuffs?,What will happen by me using heat on my fungus toe?,0
372277,"What is 1/infinity, 0 or infinitesimal?",What is 0/infinity?,0
61807,Is there anyway to chat using cmd in windows 8.1?,What are some of the most remarkable things one can do with CMD (Windows 8.1)?,0
362977,Will Bangalore be the next Silicon Valley?,What contributed to Bangalore becoming the Silicon Valley of India?,0
5299,Can I make money online?,What are the easiest ways to earn money online?,1
224342,Can starch harden Plasticine?,Can starch be part of spice powders?,0
82814,"Now that Donald Trump has been elected as the 45th President of the USA, could anybody guess who will he appoint in his cabinet?",Why did Trump purge members of his cabinet?,0
58466,Can I take back resignation in tcs?,Can the RMG in TCS force you to take up a project or ask you to resign if you refuse to do so?,0
34952,Do you know UTMSPACE (School of Profesional and Continue Education) in Malaysia?,How do you know about UTMSPACE (School of Professional and Continuing Education) in Malaysia?,0
335916,What was the cost of i20 active front bumper?,Why are green back fish used as baits?,0
52837,What are some things new employees should know going into their first day at Limelight Networks?,What are some things new employees should know going into their first day at Extreme Networks?,0
25771,What data does Google Keyboard collect?,How NHL collect data from game?,0
29359,What are the tips and hacks for getting the classes that you want as a freshman at Florida A&M?,What are the tips and hacks for getting the classes that you want as a freshman at Florida State?,0
66085,How do I reset my Gmail Password?,How do I reset a Gmail password?,1
292819,What is public porn site?,What are some of the best porn movies?,0
304678,Is Champa stronger than Beerus in Dragon Ball Super?,Why is it that no importance is given to Gohan in Dragon Ball Super?,0
282502,What does it mean when a guy asks you your age?,What does it mean when a guy asks you to eat you?,0
255418,Did Aristotle actually try to measure if heavier objects fall faster?,"Why is it that the faster you go, the heavier you are?",0
232581,"My Gmail account hacked and my account details been changed, what to do?",What can I do if my Gmail account was hacked?,1
97963,What is one incident that changed your life?,Can you describe an incident that changed your life?,1
30063,How do I start an acting career?,How can I start an acting career?,1
385356,What is Hillary Clinton's plan to deal with ISIS?,What is Hillary Clinton's strategy against ISIS?,1
224096,I really like this girl but but she has a boyfriend what should I do?,"I like a girl who I used to be friends with, and she has a boyfriend, what should I do?",1
160151,What's the origin of the word o'clock?,What is the origin of the word o'clock?,1
376853,What are the best new Car gadgets that most people don't know about?,What are the best new products or gadgets that most people don't know about?,0
21255,What are some fast growing indoor plants?,What are some fast growing indoor plants for me to grow?,1
130613,What function does the Atomic Energy Regulatory Board serve?,What is the function of the Atomic Energy Regulatory Board?,1
178980,What are the best Smartphones tech gadgets?,What are some of the best mobile technology gadgets?,1
128794,"For men is a chiseled, symmetrical, strong jawline and high cheekbones universally attractive?","Attractive men: Is long hair on men a sign of fertility, beauty and health in the same way it's for women?",0
70079,"I used to rock back & forth, sometimes in circles, when gaming or watching TV. Am I autistic? I was diagnosed w OCD & ADHD; could this be my problem?","I used to rock back and forth - sometimes in circles, when gaming or watching TV. Am I autistic? Could it be because of my ADHD/ADD or OCD?",1
16134,Will jogging help me lose weight?,Does stationary jogging help in weight loss?,0
127526,Where can I find more information about the spacing between magnetic field lines?,What is the magnetic field lines of a disc magnet look like?,0
155599,Can I became pregnant even after taking medicine to postpone the periods?,I fingered my girlfriend after wiping up sperm with a cotton cloth. This was one day before the onset of her period. We even made sure she took the i-pill within 24 hours. Can she get pregnant?,0
175300,How many beats per minute is allegro?,How many music producers in the world make +$1M per year?,0
86266,What should I do if I feel everyone is better than me?,Why do I feel that everyone around me is better than me at everything?,1
377544,Why is Hillary Clinton a better choice than Donald Trump?,How is Hillary Clinton a better choice than Donald Trump?,1
286377,How do I lose the most amount of weight possible in a one month period?,How do I lose weight in a month?,1
378849,Where do people find roommates?,Why do people always want a female for a roommate?,0
